Distritos de Sevilla;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
Bellavista - La Palmera;7,30 €;7,60 €;7,40 €;7,50 €;7,70 €;8,10 €;7,90 €;7,90 €;8,10 €;8,10 €;8,30 €;8,10 €
Casco Antiguo;11,20 €;11,30 €;11,20 €;11,40 €;11,50 €;11,50 €;11,40 €;11,50 €;11,70 €;11,50 €;11,50 €;11,70 €
Cerro - Amate;6,70 €;7,00 €;6,80 €;7,30 €;7,60 €;8,10 €;8,00 €;8,00 €;7,80 €;7,90 €;7,60 €;7,50 €
La Palmera-Los Bermejales;8,70 €;8,60 €;8,70 €;8,90 €;8,90 €;8,90 €;8,70 €;8,50 €;8,60 €;9,00 €;9,00 €;9,20 €
Los Remedios;10,60 €;10,80 €;11,00 €;11,00 €;10,70 €;10,60 €;10,60 €;10,40 €;10,70 €;10,50 €;11,10 €;10,80 €
Macarena;8,60 €;8,60 €;8,60 €;8,60 €;8,40 €;8,70 €;8,80 €;8,80 €;8,70 €;9,00 €;9,20 €;9,40 €
Nervión;9,60 €;9,90 €;10,00 €;9,70 €;10,00 €;10,00 €;10,00 €;10,00 €;10,00 €;10,00 €;10,00 €;10,00 €
Parque Alcosa;;;;;;6,30 €;6,80 €;7,00 €;;;;
Pino Montano;;;;;;;;;;;;
Prado S.S-Felipe II-Bueno Monreal;10,40 €;10,20 €;10,10 €;10,00 €;10,10 €;10,00 €;10,00 €;9,90 €;10,20 €;10,60 €;10,10 €;10,20 €
San jerónimo;;;;;;;;;;;;
San Pablo;8,10 €;8,50 €;8,70 €;9,50 €;8,90 €;8,30 €;8,40 €;8,60 €;8,30 €;8,80 €;8,80 €;8,80 €
Santa Clara;;;7,10 €;;;;;;;;;
San Pablo - Santa Justa;8,70 €;8,60 €;8,60 €;8,50 €;8,70 €;8,70 €;8,60 €;8,80 €;9,10 €;8,90 €;9,10 €;8,80 €
Sevilla Este;7,80 €;7,80 €;7,80 €;8,00 €;8,20 €;8,10 €;7,90 €;8,20 €;8,30 €;8,40 €;8,00 €;8,10 €
Torreblanca;;;;;;;;;;;;
Triana;10,00 €;10,90 €;10,90 €;11,20 €;10,70 €;10,70 €;10,60 €;10,70 €;10,80 €;10,90 €;10,70 €;10,60 €