DISTRITOS SEVILLA;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
1. Bellavista-Jardines de Hércules;1 189 €;1 176 €;1 169 €;1 162 €;1 178 €;1 174 €;1 188 €;1 149 €;1 162 €;1 227 €;1 293 €;1 272 €
2. Centro;2 864 €;2 894 €;2 879 €;2 909 €;2 932 €;2 975 €;2 966 €;2 989 €;3 013 €;3 027 €;3 033 €;3 002 €
3. Cerro Amate;976 €;997 €;992 €;1 011 €;1 023 €;1 041 €;1 026 €;1 016 €;1 006 €;1 024 €;1 019 €;1 022 €
4. La Palmera-Los Bermejales;2 179 €;2 225 €;2 228 €;2 204 €;2 194 €;2 201 €;2 225 €;2 210 €;2 211 €;2 239 €;2 247 €;2 270 €
5. Los Remedios;2 491 €;2 515 €;2 580 €;2 548 €;2 513 €;2 513 €;2 582 €;2 582 €;2 586 €;2 593 €;2 594 €;2 584 €
6. Macarena;1 258 €;1 254 €;1 263 €;1 304 €;1 341 €;1 343 €;1 366 €;1 369 €;1 359 €;1 332 €;1 316 €;1 326 €
7. Nervión;2 407 €;2 428 €;2 423 €;2 425 €;2 444 €;2 497 €;2 497 €;2 498 €;2 506 €;2 520 €;2 538 €;2 548 €
8. Parque Alcosa;1 031 €;1 039 €;1 034 €;1 048 €;1 059 €;1 083 €;1 092 €;1 100 €;1 100 €;1 100 €;1 067 €;1 067 €
9. Pino Montano;1 206 €;1 199 €;1 192 €;1 209 €;1 214 €;1 209 €;1 203 €;1 227 €;1 190 €;1 203 €;1 198 €;1 212 €
10. Prado San Sebastián-Felipe II- Bueno Monreal;2 576 €;2 567 €;2 563 €;2 542 €;2 510 €;2 526 €;2 577 €;2 541 €;2 493 €;2 553 €;2 474 €;2 530 €
10. San jerónimo;1 063 €;1 031 €;990 €;1 005 €;1 037 €;1 042 €;1 034 €;1 019 €;1 027 €;1 045 €;1 132 €;1 083 €
11. San Pablo;1 233 €;1 239 €;1 237 €;1 306 €;1 330 €;1 322 €;1 309 €;1 255 €;1 248 €;1 239 €;1 255 €;1 255 €
12. Santa Clara;2 041 €;2 005 €;1 952 €;1 968 €;1 938 €;1 911 €;1 985 €;2 033 €;2 052 €;2 060 €;2 062 €;2 027 €
13. Santa Justa-Miraflores-Cruz Roja;1 992 €;1 991 €;1 994 €;2 001 €;2 063 €;2 062 €;2 046 €;2 063 €;2 081 €;2 065 €;2 030 €;2 012 €
14. Sevilla Este;1 646 €;1 671 €;1 672 €;1 663 €;1 663 €;1 676 €;1 703 €;1 701 €;1 691 €;1 712 €;1 711 €;1 701 €
15. Torreblanca;681 €;674 €;683 €;686 €;681 €;669 €;670 €;666 €;658 €;653 €;651 €;652 €
16. Triana;2 548 €;2 544 €;2 541 €;2 542 €;2 514 €;2 513 €;2 534 €;2 546 €;2 529 €;2 500 €;2 474 €;2 500 €